"Dấu thời gian","1. Bộ phận:","2.  Vị trí hiện tại: ","3. Trung bình bạn tham gia bao nhiêu cuộc họp nội bộ/tuần?  ","4.  Thời lượng họp trung bình thường kéo dài: ","5.  Bạn đánh giá hiệu quả các cuộc họp nội bộ hiện nay ở mức nào?","6. Những khó khăn/vấn đề thường gặp trong họp:
( Bạn có thể đánh dấu nhiều phương án.)  ","7. Điều bạn muốn cải thiện nhất trong các cuộc họp nội bộ là gì?   ","8.  Các nội dung bạn mong muốn workshop sắp tới tập trung nhiều hơn:
( Bạn có thể đánh dấu nhiều phương án.)  ","9.  Sau workshop, bạn kỳ vọng có thể: 
( Bạn có thể đánh dấu nhiều phương án.)  ","10.  Nếu bạn có thể thay đổi 1 điều trong cách tổ chức họp nội bộ hiện nay, bạn sẽ thay đổi điều gì?  ","11.  Để workshop thực sự hữu ích, bạn muốn ban tổ chức bổ sung hoạt động gì? 
( Bạn có thể đánh dấu nhiều phương án.)  ","12.  Bạn có ý kiến/góp ý thêm nào khác không? "
"2025/10/03 10:31:14 SA GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Nội dung chưa đi thẳng vào trọng tâm;Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Tham gia họp bị động, ít người đóng góp ý kiến","Giảm thời gian họp, tập trung vào vấn đề cốt lõi của cuộc họp, mọi người không nói chuyện lan man","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","thay đổi cách truyền tải nội dung cốt lõi của cuộc họp","Nhiều case thực tế trong công ty","không"
"2025/10/03 10:34:37 SA GMT+7","Delivery","Nhân viên/Member","1–2 cuộc","30–60 phút","Khá – thường đạt nhưng còn điểm chưa hài lòng","Họp quá dài, mất tập trung;Nội dung chưa đi thẳng vào trọng tâm;Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Tham gia họp bị động, ít người đóng góp ý kiến","đặt câu hỏi, đóng góp ý kiến","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Tự tin điều phối/đóng góp trong cuộc họp","người dẫn dắt, điều phối cuộc họp nâng cao về cách dẫn dắt, tạo không khí","Tài liệu tham khảo sau workshop","không"
"2025/10/03 10:38:35 SA GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung","Max thời gian họp là 60p ","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Ghi nhận & tổng hợp kết quả họp;Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả","Nếu nó là 1 phần quan trọng của công việc thì nên tổ chức trong giờ hành chính, công việc có thể sắp xếp tối về là sau bù lại thơi gian họp cũng được","Nhiều case thực tế trong công ty","Không"
"2025/10/03 10:40:31 SA GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung","Rút ngắn thời lượng, tăng hiệu quả","Kỹ năng chuẩn bị agenda & tài liệu trước họp;Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Tự tin điều phối/đóng góp trong cuộc họp;Hiểu được mục đích cuộc họp và biết next action của bản thân","Giới hạn thời gian họp","Nhiều case thực tế trong công ty","khong"
"2025/10/03 10:43:22 SA GMT+7","Finance","Quản lý/Leader","3–4 cuộc","> 90 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Nội dung chưa đi thẳng vào trọng tâm;Không có chuẩn bị trước (agenda, tài liệu);Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Kết thúc họp không chốt rõ: việc gì, ai làm, deadline nào;Cách trao đổi, giao tiếp trong cuộc họp cứ kiểu ""chậm chậm"", ko tập trung. Vì nhiều khi các thành viên tham gia cuộc họp bận xử lý các việc liên quan khác, ko tập trung vào nội dung chính của cuộc họp","Cần tập trung, cách giao tiếp đúng trọng tâm, giải quyết vấn đề quyết liệt, dứt khoát","Kỹ năng chuẩn bị agenda & tài liệu trước họp;Kỹ năng điều phối & dẫn dắt họp (facilitation);Ghi nhận & tổng hợp kết quả họp;Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","Họp ít hơn nhưng hiệu quả","Nhiều case thực tế trong công ty;Thực hành tình huống","Hiện tại chưa có thêm"
"2025/10/03 11:05:48 SA GMT+7","Delivery","Nhân viên/Member","Không cố định","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung","- Gửi thông báo về cuộc họp trước ít nhất một ngày, đồng thời nêu rõ thời gian dự kiến kết thúc để mọi người dễ dàng sắp xếp công việc và chuẩn bị.
- Cuộc họp không nên kéo dài quá lâu, chỉ tập trung vào các nội dung quan trọng để đảm bảo hiệu quả, tiết kiệm thời gian và giữ sự tập trung của mọi người.","Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","Nếu có thể thay đổi một điều, em muốn các cuộc họp được giới hạn thời gian rõ ràng hơn. Việc có khung thời gian cụ thể sẽ giúp mọi người tập trung hơn vào vấn đề chính và tránh lan man.","Nhiều case thực tế trong công ty;Tài liệu tham khảo sau workshop","Không có."
"2025/10/03 11:36:00 SA GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Rất tốt – luôn đạt mục tiêu","Hiện tại chưa gặp vấn đề trong các cuộc họp","tiết kiệm thời gian nhưng vẫn đảm bảo tính hiệu quả","Kỹ năng chuẩn bị agenda & tài liệu trước họp;Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả;Thực hành tình huống thực tế","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","giảm thời gian các cuộc họp nhưng vẫn hiệu quả","Nhiều case thực tế trong công ty;Tài liệu tham khảo sau workshop;Thực hành tình huống","Em không có ý kiến nào khác"
"2025/10/03 1:18:59 CH GMT+7","Delivery","Nhân viên/Member","Không cố định","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Nội dung chưa đi thẳng vào trọng tâm;Tham gia họp bị động, ít người đóng góp ý kiến","Rút ngắn thời gian lan man, tập trung vào chủ đề chính.","Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","họp trong giờ hành chính","Nhiều case thực tế trong công ty;Thực hành tình huống","hiện tại thì chưa"
"2025/10/03 1:39:58 CH GMT+7","Delivery","Quản lý/Leader","3–4 cuộc","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Kết thúc họp không chốt rõ: việc gì, ai làm, deadline nào;Tham gia họp bị động, ít người đóng góp ý kiến;Một số cuộc họp chưa thực sự cần thiết, có thể thay thế bằng chat nội bộ.","1. Quản lý thời gian họp hiệu quả, tránh kéo dài ngoài dự kiến.
2. Điều phối cuộc họp tốt hơn để mọi người đều có cơ hội đóng góp.
3. Muốn cải thiện sự tham gia tích cực của các member, khuyến khích mọi người chia sẻ ý kiến và quan điểm trong cuộc họp.
","Kỹ năng chuẩn bị agenda & tài liệu trước họp;Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Tự tin điều phối/đóng góp trong cuộc họp;Hiểu được mục đích cuộc họp và biết next action của bản thân","1. Cần phân loại và tổ chức các cuộc họp rõ ràng, đúng với mục đích ban đầu.
Ví dụ:
- Daily: đúng nghĩa là cập nhật hằng ngày, thời lượng linh hoạt tùy theo số lượng người tham gia.
- Clear Specs: tập trung đúng vào việc làm rõ yêu cầu, không lan man sang nội dung khác và ai tham gia.","Nhiều case thực tế trong công ty;Tài liệu tham khảo sau workshop","- Cần cải thiện kỹ năng quản lý thời gian trong các cuộc họp, tránh kéo dài ngoài timeline.
- Một số cuộc họp ngoài phạm vi dự án hiện tại chưa cho thấy hiệu quả rõ rệt.
- Nhiều thành viên tham gia cuộc họp nhưng chưa mang lại kết quả thiết thực hoặc giá trị phù hợp cho họ."
"2025/10/03 2:20:32 CH GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Khá – thường đạt nhưng còn điểm chưa hài lòng","Họp quá dài, mất tập trung","no","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả","  ","Nhiều case thực tế trong công ty;Thực hành tình huống"," "
"2025/10/03 2:26:15 CH GMT+7","Delivery","Nhân viên/Member","Gần như mỗi ngày","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Tham gia họp bị động, ít người đóng góp ý kiến","Tối ưu hoá thời gian, cải thiện chất lượng","Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Ghi nhận & tổng hợp kết quả họp;Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Hiểu được mục đích cuộc họp và biết next action của bản thân","Chuẩn bị nội dung kĩ càng để rút ngắn thời gian thảo luận","Nhiều case thực tế trong công ty;Tài liệu tham khảo sau workshop","Không"
"2025/10/03 2:26:28 CH GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Khá – thường đạt nhưng còn điểm chưa hài lòng","Tham gia họp bị động, ít người đóng góp ý kiến","Đi thẳng vào trọng tâm, tránh lãng phí thời gian.","Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","Mong muốn các buổi họp được sắp xếp gọn hơn, tập trung đúng trọng tâm để tiết kiệm thời gian cho mọi người.","Nhiều case thực tế trong công ty","Không"
"2025/10/03 2:26:46 CH GMT+7","Delivery","Nhân viên/Member","Gần như mỗi ngày","30–60 phút","Khá – thường đạt nhưng còn điểm chưa hài lòng","Họp quá dài, mất tập trung","Thời gian ngắn cho cùng kết quả","Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả","Thời gian","Nhiều case thực tế trong công ty","Các cuộc họp đang khá nhiều và dài"
"2025/10/03 2:30:38 CH GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Tham gia họp bị động, ít người đóng góp ý kiến","Đi thẳng vào trọng tâm vấn đề, tránh lan man, kết quả ít nhất mọi người phải nắm được deadline của task mà mình đang đảm nhận. Sắp tới cần làm gì?","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Ghi nhận & tổng hợp kết quả họp","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Hiểu được mục đích cuộc họp và biết next action của bản thân","Daily nhanh gọn, những cái cần clear thì để qua buổi clear specs hoặc clear ở Q&A, trong buổi daily mất nhiều thời gian để giải thích 1 vấn đề thuộc về task cá nhân, nhưng nó không liên quan nhiều đến task của các bạn khác thì dẫn đến các bạn khác cảm thấy chán ","Nhiều case thực tế trong công ty;Thực hành tình huống","không"
"2025/10/03 2:33:04 CH GMT+7","Delivery","Nhân viên/Member","Không cố định","30–60 phút","Trung bình – có lúc đạt, có lúc không","Không có chuẩn bị trước (agenda, tài liệu);Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Tham gia họp bị động, ít người đóng góp ý kiến","Họp nhanh, xử lý đúng trọng tâm vấn đề","Kỹ năng chuẩn bị agenda & tài liệu trước họp;Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Ghi nhận & tổng hợp kết quả họp;Rút ngắn thời gian họp mà vẫn đạt hiệu quả;Thực hành tình huống thực tế","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Tự tin điều phối/đóng góp trong cuộc họp;Hiểu được mục đích cuộc họp và biết next action của bản thân","- Mọi người đi họp đúng giờ, đỡ lãng phí thời gian đợi 
- Người tổ chức họp cần chuẩn bị các thiết bị sớm, đỡ lãng phí thời gian tập trung mọi người rồi mới setup máy, lãng phí thời gian
- Nội dung đi vào đúng trọng tâm, đúng người đúng việc đạt hiệu quả","Nhiều case thực tế trong công ty;Thực hành tình huống","Hiện tại không"
"2025/10/03 2:34:04 CH GMT+7","Delivery","Quản lý/Leader","Gần như mỗi ngày","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Nội dung chưa đi thẳng vào trọng tâm;Không có chuẩn bị trước (agenda, tài liệu);Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Kết thúc họp không chốt rõ: việc gì, ai làm, deadline nào;Tham gia họp bị động, ít người đóng góp ý kiến","- Mọi người tham gia cuộc họp cần chủ động nắm thông tin trước khi họp.
- Mọi người chủ động trao đổi, đóng góp ý kiến nhiều hơn.","Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả","Mọi người chủ động xem nội dung, chuẩn bị trước trước mỗi cuộc họp","Nhiều case thực tế trong công ty","Không"
"2025/10/03 2:40:45 CH GMT+7","Delivery","Nhân viên/Member","1–2 cuộc","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Không có chuẩn bị trước (agenda, tài liệu);Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Kết thúc họp không chốt rõ: việc gì, ai làm, deadline nào","- Thời gian họp ngắn
- Nội dung cuộc họp không dài dòng, lan mang
- Cuối cuộc họp nêu rõ hành động tiếp theo cần phải làm ","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Ghi nhận & tổng hợp kết quả họp;Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Giảm thời gian họp nhưng vẫn hiệu quả;Tự tin điều phối/đóng góp trong cuộc họp;Hiểu được mục đích cuộc họp và biết next action của bản thân","Chỉ những người thực sự liên quan mới tham gia cuộc họp ","Nhiều case thực tế trong công ty;Thực hành tình huống","không "
"2025/10/03 3:17:26 CH GMT+7","HR","Nhân viên/Member","Không cố định","30–60 phút","Trung bình – có lúc đạt, có lúc không","Họp quá dài, mất tập trung;Nội dung chưa đi thẳng vào trọng tâm;Thiếu kỹ năng dẫn dắt, đặt câu hỏi, tổng hợp ý kiến;Tham gia họp bị động, ít người đóng góp ý kiến","Có kế hoạch timeline trước để người tham dự biết được dự kiến cuộc họp kéo dài bao lâu. Cần tập trung trao đổi đúng trọng tâm, giải quyết vấn đề dứt khoát.","Kỹ năng điều phối & dẫn dắt họp (facilitation);Cách tham gia họp hiệu quả (đặt câu hỏi, đóng góp ý kiến);Rút ngắn thời gian họp mà vẫn đạt hiệu quả","Chuẩn bị tốt hơn và tham gia họp hiệu quả hơn;Giảm thời gian họp nhưng vẫn hiệu quả;Hiểu được mục đích cuộc họp và biết next action của bản thân","Thời gian","Nhiều case thực tế trong công ty","Hiện tại em chưa có ý kiến gì thêm."
"2025/10/03 3:29:03 CH GMT+7","Delivery","Nhân viên/Member","3–4 cuộc","30–60 phút","Khá – thường đạt nhưng còn điểm chưa hài lòng","Nội dung chưa đi thẳng vào trọng tâm;Không có chuẩn bị trước (agenda, tài liệu)","ff","Kỹ năng điều phối & dẫn dắt họp (facilitation)","Giảm thời gian họp nhưng vẫn hiệu quả","ff","Tài liệu tham khảo sau workshop","ff"